hour,orders
-1.661324772583615,9
-1.516861748880692,8
-1.372398725177769,9
-1.227935701474846,11
-1.0834726777719228,8
-0.9390096540689998,8
-0.7945466303660768,11
-0.6500836066631537,10
-0.5056205829602307,8
-0.36115755925730764,12
-0.21669453555438456,15
-0.07223151185146152,22
0.07223151185146152,31
0.21669453555438456,30
0.36115755925730764,28
0.5056205829602307,27
0.6500836066631537,25
0.7945466303660768,33
0.9390096540689998,38
1.0834726777719228,40
1.227935701474846,42
1.372398725177769,29
1.516861748880692,19
1.661324772583615,10
