hour,orders
-1.661324772583615,7
-1.516861748880692,8
-1.372398725177769,6
-1.227935701474846,9
-1.0834726777719228,7
-0.9390096540689998,7
-0.7945466303660768,7
-0.6500836066631537,12
-0.5056205829602307,9
-0.36115755925730764,9
-0.21669453555438456,18
-0.07223151185146152,21
0.07223151185146152,31
0.21669453555438456,29
0.36115755925730764,29
0.5056205829602307,28
0.6500836066631537,29
0.7945466303660768,33
0.9390096540689998,40
1.0834726777719228,43
1.227935701474846,36
1.372398725177769,28
1.516861748880692,18
1.661324772583615,15
