hour,orders
-1.661324772583615,9
-1.516861748880692,4
-1.372398725177769,9
-1.227935701474846,7
-1.0834726777719228,7
-0.9390096540689998,9
-0.7945466303660768,10
-0.6500836066631537,10
-0.5056205829602307,7
-0.36115755925730764,11
-0.21669453555438456,17
-0.07223151185146152,25
0.07223151185146152,29
0.21669453555438456,33
0.36115755925730764,29
0.5056205829602307,26
0.6500836066631537,29
0.7945466303660768,35
0.9390096540689998,40
1.0834726777719228,45
1.227935701474846,40
1.372398725177769,28
1.516861748880692,20
1.661324772583615,16
